date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:00	114513/114513	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bf51-172a7e6d370%22	https://groovy.bot/_nuxt/540337644840ff1675b0.js	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/540337644840ff1675b0.js	(from https://groovy.bot/)
13:37:00	8049/8049	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f71-172a7e6d370%22	https://groovy.bot/_nuxt/a6a7713a5512f1649a60.js	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/a6a7713a5512f1649a60.js	(from https://groovy.bot/)
13:37:00	93388/93388	---M--	200	added ('OK')	font/woff	etag:W/%2216ccc-172a7e6d370%22	https://groovy.bot/_nuxt/fonts/94dac78.woff	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/fonts/94dac78.woff	(from https://groovy.bot/)
13:37:01	65916/65916	---M--	200	added ('OK')	font/woff2	etag:W/%221017c-172a7e6d370%22	https://groovy.bot/_nuxt/fonts/9feb011.woff2	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/fonts/9feb011.woff2	(from https://groovy.bot/)
13:37:01	93700/93700	---M--	200	added ('OK')	font/woff	etag:W/%2216e04-172a7e6d370%22	https://groovy.bot/_nuxt/fonts/08cb8f7.woff	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/fonts/08cb8f7.woff	(from https://groovy.bot/)
13:37:01	65972/65972	---M--	200	added ('OK')	font/woff2	etag:W/%22101b4-172a7e6d370%22	https://groovy.bot/_nuxt/fonts/f3a02e2.woff2	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/fonts/f3a02e2.woff2	(from https://groovy.bot/)
13:37:01	11992/11992	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ed8-172cd6c5b10%22	https://groovy.bot/img/backgrounds/horizontal.svg	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/backgrounds/horizontal.svg	(from https://groovy.bot/)
13:37:02	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:04%20GMT	https://groovy.bot/invite	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/invite	(from https://groovy.bot/)
13:37:02	109417/109417	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2010:37:04%20GMT	https://groovy.bot/commands	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/commands.html	(from https://groovy.bot/)
13:37:02	91264/91264	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2010:37:04%20GMT	https://groovy.bot/premium	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/premium.html	(from https://groovy.bot/)
